time,dim_0,y,x,spatial_ref,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,scl,aot,wvp,geometry,es_incendio
2022-12-04 14:52:02.051,1,6323535.0,299985.0,32719,413,611,863,1205,1519,1866,2124,2309,2412,2446,2956,1964,5,84,1227,POINT (299985 6323535),0
2022-12-04 14:52:02.051,2,6324855.0,298305.0,32719,325,379,511,504,803,1639,1962,1997,2129,2441,1920,1241,4,84,1060,POINT (298305 6324855),0
2022-12-04 14:52:02.051,3,6326835.0,300195.0,32719,514,602,868,1176,1524,2117,2332,2490,2453,2495,2933,2099,5,144,1026,POINT (300195 6326835),0
2022-12-04 14:52:02.051,4,6322815.0,299055.0,32719,464,653,876,1298,1573,1849,2082,2304,2448,2620,3262,2035,5,84,1079,POINT (299055 6322815),0
2022-12-04 14:52:02.051,5,6323715.0,303975.0,32719,443,585,807,1151,1399,1762,1979,2158,2250,2409,3049,2143,5,138,996,POINT (303975 6323715),1
2022-12-04 14:52:02.051,6,6327225.0,302835.0,32719,463,667,904,1293,1635,2094,2364,2551,2690,2587,3369,2303,5,149,1206,POINT (302835 6327225),0
2022-12-04 14:52:02.051,7,6324705.0,299505.0,32719,404,507,649,781,1054,1453,1638,1764,1838,1981,2496,1774,5,83,1061,POINT (299505 6324705),1
2022-12-04 14:52:02.051,8,6323625.0,298545.0,32719,484,589,853,1260,1566,1929,2190,2424,2536,2779,3100,1969,5,84,1082,POINT (298545 6323625),1
2022-12-04 14:52:02.051,9,6325485.0,304605.0,32719,437,810,1120,1571,1891,2600,2959,3342,3381,3141,3236,2055,5,147,1292,POINT (304605 6325485),0
2022-12-04 14:52:02.051,10,6327345.0,300345.0,32719,496,546,725,905,1183,1782,2042,2110,2175,2141,2521,1771,5,143,1105,POINT (300345 6327345),0
2022-12-04 14:52:02.051,11,6322665.0,301815.0,32719,393,518,688,1090,1344,1604,1788,1977,2077,2125,2769,1987,5,137,931,POINT (301815 6322665),0
2022-12-04 14:52:02.051,12,6327525.0,303465.0,32719,379,553,751,1077,1366,1698,1858,2024,2174,2110,2919,2105,5,147,1260,POINT (303465 6327525),0
2022-12-04 14:52:02.051,13,6325035.0,298935.0,32719,568,684,911,1181,1555,2048,2286,2343,2483,2529,3200,2324,5,81,1002,POINT (298935 6325035),0
2022-12-04 14:52:02.051,14,6322215.0,299625.0,32719,418,607,858,1291,1606,1900,2058,2214,2270,2271,2946,2166,5,82,1124,POINT (299625 6322215),0
2022-12-04 14:52:02.051,15,6323535.0,304725.0,32719,363,590,813,1223,1504,1820,2026,2157,2265,2236,2871,2030,5,137,1012,POINT (304725 6323535),0
2022-12-04 14:52:02.051,16,6326265.0,299445.0,32719,416,505,729,1038,1368,1843,2025,2152,2295,2415,3104,2154,5,82,954,POINT (299445 6326265),0
2022-12-04 14:52:02.051,17,6327195.0,304305.0,32719,442,599,836,1204,1509,1849,2092,2320,2419,2396,2772,1888,5,146,1235,POINT (304305 6327195),1
2022-12-04 14:52:02.051,18,6324885.0,302745.0,32719,370,585,812,1195,1430,1694,1893,2111,2186,2019,2783,1988,5,144,1109,POINT (302745 6324885),1
2022-12-04 14:52:02.051,19,6322395.0,301635.0,32719,463,592,744,926,1133,1620,1807,1942,1981,1989,2274,1756,5,138,893,POINT (301635 6322395),0
2022-12-04 14:52:02.051,20,6323475.0,299325.0,32719,445,658,919,1294,1616,1994,2220,2426,2627,2412,3309,2286,5,85,1113,POINT (299325 6323475),1
2022-12-04 14:52:02.051,21,6324675.0,300585.0,32719,479,577,802,1123,1460,1892,2164,2352,2569,2564,3392,2221,5,150,1134,POINT (300585 6324675),1
2022-12-04 14:52:02.051,22,6326715.0,300465.0,32719,686,1060,1405,1870,2131,2379,2574,2575,2532,2231,3923,2748,5,143,1171,POINT (300465 6326715),1
2022-12-04 14:52:02.051,23,6327285.0,300855.0,32719,504,666,1000,1634,2039,2167,2333,2378,2381,2350,3418,2591,5,143,1290,POINT (300855 6327285),1
2022-12-04 14:52:02.051,24,6325935.0,299205.0,32719,489,543,809,1207,1596,2142,2360,2490,2602,2727,3109,2313,5,82,1016,POINT (299205 6325935),0
2022-12-04 14:52:02.051,25,6322215.0,298575.0,32719,619,818,1127,1593,2020,2448,2680,2977,3112,3065,3451,2408,5,85,1296,POINT (298575 6322215),0
2022-12-04 14:52:02.051,26,6326565.0,304905.0,32719,372,433,542,666,927,1346,1597,1700,1801,2036,2200,1580,5,144,925,POINT (304905 6326565),0
2022-12-04 14:52:02.051,27,6326655.0,298785.0,32719,404,548,711,1048,1263,1468,1725,1985,2165,2107,3497,2123,5,84,967,POINT (298785 6326655),0
2022-12-04 14:52:02.051,28,6326325.0,300045.0,32719,371,518,736,1112,1461,1897,2128,2237,2308,2095,2990,2359,5,144,1095,POINT (300045 6326325),0
2022-12-04 14:52:02.051,29,6326415.0,304815.0,32719,330,430,621,668,1080,1847,2058,2221,2282,2488,2268,1469,4,146,1120,POINT (304815 6326415),0
2022-12-04 14:52:02.051,30,6326985.0,303165.0,32719,408,555,717,794,1114,1697,1840,1982,2101,2254,2494,1716,5,147,1109,POINT (303165 6326985),0
2022-12-04 14:52:02.051,31,6324645.0,302895.0,32719,358,492,687,901,1184,1777,1961,2196,2305,2207,2451,1639,5,142,1097,POINT (302895 6324645),1
2022-12-04 14:52:02.051,32,6322215.0,300975.0,32719,473,794,1038,1377,1656,2112,2341,2511,2511,2498,2659,1939,5,145,1154,POINT (300975 6322215),0
2022-12-04 14:52:02.051,33,6322935.0,301665.0,32719,478,648,906,1272,1619,1968,2178,2306,2416,2355,2955,2310,5,139,1152,POINT (301665 6322935),0
2022-12-04 14:52:02.051,34,6326145.0,304275.0,32719,256,238,415,327,704,1836,2141,2277,2353,2420,1531,902,4,147,1179,POINT (304275 6326145),0
2022-12-04 14:52:02.051,35,6325365.0,298125.0,32719,549,787,1159,1772,2094,2291,2503,2634,2672,2740,4033,3020,5,82,1176,POINT (298125 6325365),0
2022-12-04 14:52:02.051,36,6324675.0,303135.0,32719,365,482,657,958,1175,1450,1642,1831,1910,2120,2616,1789,5,141,957,POINT (303135 6324675),1
2022-12-04 14:52:02.051,37,6324015.0,303345.0,32719,500,664,894,1323,1617,1934,2159,2267,2414,2679,3380,2399,5,141,1031,POINT (303345 6324015),0
2022-12-04 14:52:02.051,38,6327435.0,299355.0,32719,632,578,788,969,1235,1818,2119,2307,2419,2771,2808,1766,5,84,1027,POINT (299355 6327435),0
2022-12-04 14:52:02.051,39,6327435.0,304065.0,32719,431,598,816,1383,1685,1939,2267,2644,2908,2686,3763,2277,5,148,1211,POINT (304065 6327435),0
2022-12-04 14:52:02.051,40,6326715.0,300615.0,32719,456,472,656,742,1081,1563,1739,1851,1872,1906,2486,1803,5,144,1011,POINT (300615 6326715),1
2022-12-04 14:52:02.051,41,6322215.0,301935.0,32719,363,459,597,707,1010,1548,1727,1916,2027,2001,2311,1698,5,139,992,POINT (301935 6322215),0
2022-12-04 14:52:02.051,42,6323775.0,300735.0,32719,482,679,934,1409,1741,2171,2413,2644,2715,2738,2706,1879,5,148,1187,POINT (300735 6323775),0
2022-12-04 14:52:02.051,43,6326985.0,300345.0,32719,546,621,874,1299,1626,1924,2019,2061,2119,2366,3465,2583,5,142,1019,POINT (300345 6326985),0
2022-12-04 14:52:02.051,44,6322335.0,303165.0,32719,519,701,869,1038,1377,1941,2176,2276,2335,2395,2531,1848,5,128,925,POINT (303165 6322335),0
2022-12-04 14:52:02.051,45,6324825.0,303165.0,32719,414,556,760,1117,1393,1641,1841,2055,2123,2286,2787,1923,5,143,998,POINT (303165 6324825),1
2022-12-04 14:52:02.051,46,6323205.0,299625.0,32719,475,639,900,1247,1601,2051,2266,2421,2567,2527,2787,1861,5,84,1145,POINT (299625 6323205),1
2022-12-04 14:52:02.051,47,6326085.0,303945.0,32719,550,755,1006,1422,1954,2295,2386,2592,2765,3115,3129,2093,5,148,1319,POINT (303945 6326085),0
2022-12-04 14:52:02.051,48,6324495.0,298425.0,32719,440,775,1097,1449,1810,2398,2735,2889,2929,2651,3021,2006,5,85,1418,POINT (298425 6324495),0
2022-12-04 14:52:02.051,49,6326505.0,299655.0,32719,464,589,859,1061,1486,2282,2582,2761,2878,2886,3030,2188,5,82,1069,POINT (299655 6326505),0
2022-12-04 14:52:02.051,50,6327435.0,304995.0,32719,362,449,608,825,1157,1460,1658,1829,2067,2149,2516,1734,5,143,1083,POINT (304995 6327435),0
2022-12-04 14:52:02.051,51,6326745.0,303105.0,32719,403,544,729,917,1271,1780,2035,2217,2290,2294,2576,1748,5,148,1104,POINT (303105 6326745),0
2022-12-04 14:52:02.051,52,6323055.0,304725.0,32719,426,570,767,1086,1320,1627,1803,1954,2041,2092,2762,1995,5,133,848,POINT (304725 6323055),1
